product,vendor,edition,morefields
alpine,alpine_project,*,*
alpine-photo-tile-for-instagram,thealpinepress,*,*
alpm-rs,alpm-rs_project,*,*
alqo,alqo,*,*
alsa,alsa-project,*,*
alsong,altools,*,*
altavault,netapp,*,*
altavault_ost_plug-in,netapp,*,*
alternate_pic_view,alternate-tools,*,*
altimeter,ramp,*,*
altiris_deployment_solution,symantec,*,*
altiris_it_management_suite,symantec,*,*
alto-saxophone,alto-saxophone_project,*,*
altools,estsoft,*,*
altos-connect,altosresearch,*,*
alumni_management_system,alumni_management_system_project,*,*
aluxtoken,aluxdigital,*,*
alzip,estsoft,*,*
am,forgerock,*,*
aman,aman_project,*,*
amanda,zmanda,*,*
amarok,kde,*,*
amaze_file_manager,amaze_file_manager_project,*,*
amazon_affiliate_store,amazon_affiliate_store_project,*,*
amazon_clone,amazon_clone_project,*,*
amazon_cloudfront,amazon,*,*
amazon_ec2,jenkins,*,*
amazon_music,amazon,*,*
amazon_pay,bestit,*,*
amazon_pay,ec-cube,*,*
amazon_sns_build_notifier,jenkins,*,*
amazon_web_services_cloudformation_bootstrap,amazon,*,*
amazon_web_services_freertos,amazon,*,*
amazon_web_services_serverless_application_model,jenkins,*,*
ambari,apache,*,*
amd64_kernel_driver,hwinfo,*,*
america\'s_first_fcu_mobile_banking,america\'s_first_federal_credit_union,*,*
ametys,ametys,*,*
amgallery,arenam,*,*
amica_prodigy,gestionaleamica,*,*
ammonia,ammonia_project,*,*
ammyy_admin,ammyy,*,*
amosconnect,inmarsat,*,*
amosconnect_8,inmarsat,*,*
amp,cubecoders,*,*
amp_for_wp,magazine3,*,*
amp_threat_grid_appliance,cisco,*,*
amp_threat_grid_cloud,cisco,*,*
ampache,ampache,*,*
ampla_manufacturing_execution_system,schneider-electric,*,*
amq,redhat,*,*
amq_online,redhat,*,*
amqp_0-x_jms_client,apache,*,*
ams_device_manager,emerson,*,*
amtoken,amtoken_project,*,*
amtythumb,amtythumb_project,*,*
amuli,themerex,*,*
an,weban,*,*
ana,ana,*,*
analog_flash_clock,xorbin,*,*
analysis_for_microsoft_office,sap,*,*
analytics,sonicwall,*,on-prem
analytics-quarry-web,wikimedia,*,*
analytics_and_location_engine,arubanetworks,*,*
analytics_appmeasurement_for_flash_library,adobe,*,*
analytics_platform,tibco,*,*
analytics_tracker,analytics_tracker_project,*,*
analyzer,sonicwall,*,*
anchor,anchorcms,*,*
anchor_cms,anchorcms,*,*
anchore_container_image_scanner,jenkins,*,*
anchorme,anchorme_project,*,*
anda,linhandante,*,*
andrew\'s_web_libraries,davical,*,*
android-gif-drawable,android-gif-drawable_project,*,*
android_ble_library,nordicsemi,*,*
android_lint,jenkins,*,*
androidsvg,androidsvg_project,*,*
angular-expressions,peerigon,*,*
angular-http-server,angular-http-server_project,*,*
angular-jwt,auth0,*,*
angular.js,angularjs,*,*
angular_redactor,angular_redactor_project,*,*
animate,adobe,*,*
animate_it\!,eleopard,*,*
annotations,doctrine-project,*,*
annual_maintenance_contract_management_system,dasinfomedia,*,*
anonymous_post_pro,accesspressthemes,*,*
anovabace,anovabace_project,*,*
anshin_net_security,kddi,*,windows
ansi-html,ansi-html_project,*,*
ansi-regex,ansi-regex_project,*,*
ansi_up,ansi_up_project,*,*
ansi2html,ansi2html_project,*,*
ansible,confluent,*,*
ansible,redhat,*,*
ansible,jenkins,*,*
ansible,ansible,*,*
ansible-vault,ansible-vault_project,*,*
ansible_automation_platform,redhat,*,*
ansible_engine,redhat,*,*
ansible_tower,redhat,*,*
ansible_tower,jenkins,*,*
ansible_tower,redhat,*,scm_repositories
ant,apache,*,*
ant_design_pro,ant.design,*,*
anti-malware,emsisoft,*,*
anti-malware,malwarefox,*,*
anti-malware,watchdogdevelopment,*,*
anti-malware_scan_engine,mcafee,*,*
anti-malware_sdk,avira,*,*
anti-plagiarism,anti-plagiarism_project,*,*
anti-ransomware_tool,kaspersky,*,*
anti-spam,cleantalk,*,*
